,signal,col2,anot
0,150315,4.74,
1,150316,4.745,
2,150317,4.735,
3,150318,4.72,
4,150319,4.675,
5,150320,4.635,
6,150321,4.59,
7,150322,4.545,
8,150323,4.595,
9,150324,4.775,
10,150325,4.845,
11,150326,5.295,
12,150327,5.695,
13,150328,6.0,
14,150329,6.105,
15,150330,5.86,N
16,150331,5.295,
17,150332,4.81,
18,150333,4.64,
19,150334,4.625,
20,150335,4.675,
21,150336,4.71,
22,150337,4.715,
23,150338,4.71,
24,150339,4.715,
25,150340,4.725,
26,150341,4.7,
27,150342,4.7,
28,150343,4.695,
29,150344,4.71,
0,150514,4.78,
1,150515,4.785,
2,150516,4.77,
3,150517,4.71,
4,150518,4.645,
5,150519,4.62,
6,150520,4.58,
7,150521,4.58,
8,150522,4.725,
9,150523,4.96,
10,150524,5.26,
11,150525,5.36,
12,150526,6.015,
13,150527,6.235,
14,150528,6.125,
15,150529,5.63,N
16,150530,5.005,
17,150531,4.69,
18,150532,4.7,
19,150533,4.745,
20,150534,4.76,
21,150535,4.75,
22,150536,4.755,
23,150537,4.755,
24,150538,4.73,
25,150539,4.73,
26,150540,4.74,
27,150541,4.745,
28,150542,4.72,
29,150543,4.72,
0,150713,4.8,
1,150714,4.805,
2,150715,4.815,
3,150716,4.795,
4,150717,4.735,
5,150718,4.69,
6,150719,4.66,
7,150720,4.6,
8,150721,4.58,
9,150722,4.715,
10,150723,4.955,
11,150724,5.265,
12,150725,5.38,
13,150726,6.05,
14,150727,6.165,
15,150728,5.83,N
16,150729,5.18,
17,150730,4.72,
18,150731,4.68,
19,150732,4.755,
20,150733,4.78,
21,150734,4.76,
22,150735,4.76,
23,150736,4.775,
24,150737,4.765,
25,150738,4.75,
26,150739,4.745,
27,150740,4.76,
28,150741,4.765,
29,150742,4.755,
0,150910,4.8,
1,150911,4.81,
2,150912,4.81,
3,150913,4.78,
4,150914,4.76,
5,150915,4.705,
6,150916,4.675,
7,150917,4.6,
8,150918,4.58,
9,150919,4.74,
10,150920,4.95,
11,150921,5.22,
12,150922,5.6,
13,150923,5.955,
14,150924,6.085,
15,150925,6.08,N
16,150926,5.32,
17,150927,4.855,
18,150928,4.675,
19,150929,4.63,
20,150930,4.64,
21,150931,4.715,
22,150932,4.76,
23,150933,4.75,
24,150934,4.735,
25,150935,4.74,
26,150936,4.765,
27,150937,4.76,
28,150938,4.75,
29,150939,4.74,
0,151114,4.805,
1,151115,4.805,
2,151116,4.805,
3,151117,4.76,
4,151118,4.715,
5,151119,4.685,
6,151120,4.64,
7,151121,4.63,
8,151122,4.745,
9,151123,4.965,
10,151124,5.235,
11,151125,5.34,
12,151126,5.96,
13,151127,6.175,
14,151128,6.1,
15,151129,5.68,N
16,151130,5.135,
17,151131,4.785,
