,signal,col2,anot
0,150315,4.74,p
1,150316,4.745,p
2,150317,4.735,p
3,150318,4.72,p
4,150319,4.675,p
5,150320,4.635,p
6,150321,4.59,p
7,150322,4.545,p
8,150323,4.595,p
9,150324,4.775,p
10,150325,4.845,p
11,150326,5.295,p
12,150327,5.695,p
13,150328,6,p
14,150329,6.105,p
15,150330,5.86,p
16,150331,5.295,p
17,150332,4.81,p
18,150333,4.64,p
19,150334,4.625,p
20,150335,4.675,p
21,150336,4.71,p
22,150337,4.715,p
23,150338,4.71,p
24,150339,4.715,p
25,150340,4.725,p
26,150341,4.7,p
27,150342,4.7,p
28,150343,4.695,p
29,150344,4.71,p
0,150514,4.78,p
1,150515,4.785,p
2,150516,4.77,p
3,150517,4.71,p
4,150518,4.645,p
5,150519,4.62,p
6,150520,4.58,p
7,150521,4.58,p
8,150522,4.725,p
9,150523,4.96,p
10,150524,5.26,p
11,150525,5.36,p
12,150526,6.015,p
13,150527,6.235,p
14,150528,6.125,p
15,150529,5.63,p
16,150530,5.005,p
17,150531,4.69,p
18,150532,4.7,p
19,150533,4.745,p
20,150534,4.76,p
21,150535,4.75,p
22,150536,4.755,p
23,150537,4.755,p
24,150538,4.73,p
25,150539,4.73,p
26,150540,4.74,p
27,150541,4.745,p
28,150542,4.72,p
29,150543,4.72,p
0,150713,4.8,p
1,150714,4.805,p
2,150715,4.815,p
3,150716,4.795,p
4,150717,4.735,p
5,150718,4.69,p
6,150719,4.66,p
7,150720,4.6,p
8,150721,4.58,p
9,150722,4.715,p
10,150723,4.955,p
11,150724,5.265,p
12,150725,5.38,p
13,150726,6.05,p
14,150727,6.165,p
15,150728,5.83,p
16,150729,5.18,p
17,150730,4.72,p
18,150731,4.68,p
19,150732,4.755,p
20,150733,4.78,p
21,150734,4.76,p
22,150735,4.76,p
23,150736,4.775,p
24,150737,4.765,p
25,150738,4.75,p
26,150739,4.745,p
27,150740,4.76,p
28,150741,4.765,p
29,150742,4.755,p
0,150910,4.8,p
1,150911,4.81,p
2,150912,4.81,p
3,150913,4.78,p
4,150914,4.76,p
5,150915,4.705,p
6,150916,4.675,p
7,150917,4.6,p
8,150918,4.58,p
9,150919,4.74,p
10,150920,4.95,p
11,150921,5.22,p
12,150922,5.6,p
13,150923,5.955,p
14,150924,6.085,p
15,150925,6.08,p
16,150926,5.32,p
17,150927,4.855,p
18,150928,4.675,p
19,150929,4.63,p
20,150930,4.64,p
21,150931,4.715,p
22,150932,4.76,p
23,150933,4.75,p
24,150934,4.735,p
25,150935,4.74,p
26,150936,4.765,p
27,150937,4.76,p
28,150938,4.75,p
29,150939,4.74,p
0,151114,4.805,p
1,151115,4.805,p
2,151116,4.805,p
3,151117,4.76,p
4,151118,4.715,p
5,151119,4.685,p
6,151120,4.64,p
7,151121,4.63,p
8,151122,4.745,p
9,151123,4.965,p
10,151124,5.235,p
11,151125,5.34,p
12,151126,5.96,p
13,151127,6.175,p
14,151128,6.1,p
15,151129,5.68,p
16,151130,5.135,p
17,151131,4.785,p
18,151132,4.68,p
19,151133,4.69,p
20,151134,4.715,p
21,151135,4.755,p
22,151136,4.775,p
23,151137,4.765,p
24,151138,4.765,p
25,151139,4.76,p
26,151140,4.765,p
27,151141,4.77,p
28,151142,4.765,p
29,151143,4.755,p
0,151312,4.815,p
1,151313,4.795,p
2,151314,4.735,p
3,151315,4.7,p
4,151316,4.675,p
5,151317,4.605,p
6,151318,4.575,p
7,151319,4.67,p
8,151320,4.83,p
9,151321,5.02,p
10,151322,5.26,p
11,151323,5.605,p
12,151324,5.98,p
13,151325,6.08,p
14,151326,6.265,p
15,151327,6.07,p
16,151328,5.57,p
17,151329,5.045,p
18,151330,4.745,p
19,151331,4.685,p
20,151332,4.735,p
21,151333,4.78,p
22,151334,4.79,p
23,151335,4.785,p
24,151336,4.795,p
25,151337,4.795,p
26,151338,4.785,p
27,151339,4.765,p
28,151340,4.775,p
29,151341,4.785,p
0,151520,4.825,p
1,151521,4.81,p
2,151522,4.785,p
3,151523,4.755,p
4,151524,4.72,p
5,151525,4.7,p
6,151526,4.63,p
7,151527,4.58,p
8,151528,4.655,p
9,151529,4.82,p
10,151530,5.015,p
11,151531,5.305,p
12,151532,5.675,p
13,151533,5.99,p
14,151534,6.145,p
15,151535,6.06,p
16,151536,5.665,p
17,151537,5.08,p
18,151538,4.73,p
19,151539,4.685,p
20,151540,4.77,p
21,151541,4.8,p
22,151542,4.78,p
23,151543,4.77,p
24,151544,4.785,p
25,151545,4.78,p
26,151546,4.78,p
27,151547,4.755,p
28,151548,4.755,p
29,151549,4.765,p
0,151732,4.8,p
1,151733,4.785,p
2,151734,4.775,p
3,151735,4.765,p
4,151736,4.73,p
5,151737,4.67,p
6,151738,4.605,p
7,151739,4.54,p
8,151740,4.61,p
9,151741,4.795,p
10,151742,5,p
11,151743,5.295,p
12,151744,5.705,p
13,151745,5.985,p
14,151746,6.025,p
15,151747,5.72,p
16,151748,5.195,p
17,151749,4.82,p
18,151750,4.74,p
19,151751,4.665,p
20,151752,4.72,p
21,151753,4.735,p
22,151754,4.725,p
23,151755,4.72,p
24,151756,4.735,p
25,151757,4.735,p
26,151758,4.74,p
27,151759,4.73,p
28,151760,4.72,p
29,151761,4.73,p
0,151937,4.785,p
1,151938,4.77,p
2,151939,4.735,p
3,151940,4.695,p
4,151941,4.66,p
5,151942,4.61,p
6,151943,4.555,p
7,151944,4.64,p
8,151945,4.825,p
9,151946,5.06,p
10,151947,5.37,p
11,151948,5.77,p
12,151949,6.07,p
13,151950,6.145,p
14,151951,6.295,p
15,151952,6.31,p
16,151953,6.14,p
17,151954,5.82,p
18,151955,5.375,p
19,151956,4.91,p
20,151957,4.675,p
21,151958,4.65,p
22,151959,4.695,p
23,151960,4.74,p
24,151961,4.75,p
25,151962,4.75,p
26,151963,4.725,p
27,151964,4.715,p
28,151965,4.735,p
29,151966,4.735,p
0,152124,4.765,p
1,152125,4.765,p
2,152126,4.74,p
3,152127,4.725,p
4,152128,4.7,p
5,152129,4.65,p
6,152130,4.62,p
7,152131,4.57,p
8,152132,4.56,p
9,152133,4.725,p
10,152134,4.965,p
11,152135,5.29,p
12,152136,5.725,p
13,152137,6.1,p
14,152138,6.195,p
15,152139,5.88,p
16,152140,5.225,p
17,152141,4.715,p
18,152142,4.635,p
19,152143,4.71,p
20,152144,4.755,p
21,152145,4.75,p
22,152146,4.735,p
23,152147,4.715,p
24,152148,4.72,p
25,152149,4.725,p
26,152150,4.725,p
27,152151,4.71,p
28,152152,4.71,p
29,152153,4.715,p
0,152317,4.79,p
1,152318,4.78,p
2,152319,4.79,p
3,152320,4.78,p
4,152321,4.725,p
5,152322,4.675,p
6,152323,4.645,p
7,152324,4.605,p
8,152325,4.59,p
9,152326,4.83,p
10,152327,5.07,p
11,152328,5.405,p
12,152329,5.795,p
13,152330,6.095,p
14,152331,6.14,p
15,152332,5.82,p
16,152333,5.195,p
17,152334,4.73,p
18,152335,4.68,p
19,152336,4.76,p
20,152337,4.8,p
21,152338,4.775,p
22,152339,4.765,p
23,152340,4.79,p
24,152341,4.8,p
25,152342,4.79,p
26,152343,4.78,p
27,152344,4.77,p
28,152345,4.77,p
29,152346,4.77,p
0,152515,4.79,p
1,152516,4.8,p
2,152517,4.79,p
3,152518,4.77,p
4,152519,4.755,p
5,152520,4.725,p
6,152521,4.685,p
7,152522,4.605,p
8,152523,4.6,p
9,152524,4.75,p
10,152525,4.815,p
11,152526,5.28,p
12,152527,5.685,p
13,152528,6.01,p
14,152529,6.1,p
15,152530,5.8,p
16,152531,5.245,p
17,152532,4.81,p
18,152533,4.68,p
19,152534,4.685,p
20,152535,4.715,p
21,152536,4.745,p
22,152537,4.755,p
23,152538,4.77,p
24,152539,4.765,p
25,152540,4.765,p
26,152541,4.76,p
27,152542,4.755,p
28,152543,4.74,p
29,152544,4.755,p
0,152716,4.84,p
1,152717,4.845,p
2,152718,4.835,p
3,152719,4.805,p
4,152720,4.755,p
5,152721,4.72,p
6,152722,4.68,p
7,152723,4.63,p
8,152724,4.72,p
9,152725,4.765,p
10,152726,5.155,p
11,152727,5.485,p
12,152728,5.89,p
13,152729,6.18,p
14,152730,6.2,p
15,152731,5.815,p
16,152732,5.21,p
17,152733,4.795,p
18,152734,4.7,p
19,152735,4.75,p
20,152736,4.805,p
21,152737,4.825,p
22,152738,4.82,p
23,152739,4.81,p
24,152740,4.81,p
25,152741,4.82,p
26,152742,4.805,p
27,152743,4.785,p
28,152744,4.785,p
29,152745,4.8,p
0,152906,4.805,p
1,152907,4.805,p
2,152908,4.755,p
3,152909,4.695,p
4,152910,4.67,p
5,152911,4.635,p
6,152912,4.585,p
7,152913,4.645,p
8,152914,4.785,p
9,152915,4.99,p
10,152916,5.185,p
11,152917,5.445,p
12,152918,5.77,p
13,152919,6.095,p
14,152920,6.28,p
15,152921,6.27,p
16,152922,5.875,p
17,152923,5.235,p
18,152924,4.805,p
19,152925,4.725,p
20,152926,4.775,p
21,152927,4.805,p
22,152928,4.82,p
23,152929,4.805,p
24,152930,4.795,p
25,152931,4.785,p
26,152932,4.785,p
27,152933,4.785,p
28,152934,4.78,p
29,152935,4.76,p
0,153111,4.765,p
1,153112,4.77,p
2,153113,4.77,p
3,153114,4.75,p
4,153115,4.75,p
5,153116,4.735,p
6,153117,4.67,p
7,153118,4.61,p
8,153119,4.59,p
9,153120,4.56,p
10,153121,4.615,p
11,153122,4.775,p
12,153123,5.01,p
13,153124,5.305,p
14,153125,5.415,p
15,153126,6.01,p
16,153127,6.135,p
17,153128,5.94,p
18,153129,5.41,p
19,153130,4.86,p
20,153131,4.64,p
21,153132,4.665,p
22,153133,4.73,p
23,153134,4.75,p
24,153135,4.725,p
25,153136,4.73,p
26,153137,4.74,p
27,153138,4.745,p
28,153139,4.715,p
29,153140,4.725,p
0,153324,4.745,p
1,153325,4.745,p
2,153326,4.715,p
3,153327,4.68,p
4,153328,4.64,p
5,153329,4.635,p
6,153330,4.58,p
7,153331,4.535,p
8,153332,4.615,p
9,153333,4.81,p
10,153334,5.035,p
11,153335,5.35,p
12,153336,5.735,p
13,153337,5.99,p
14,153338,5.995,p
15,153339,5.645,p
16,153340,5.085,p
17,153341,4.725,p
18,153342,4.615,p
19,153343,4.605,p
20,153344,4.665,p
21,153345,4.7,p
22,153346,4.71,p
23,153347,4.7,p
24,153348,4.7,p
25,153349,4.7,p
26,153350,4.695,p
27,153351,4.675,p
28,153352,4.675,p
29,153353,4.675,p
0,153527,4.785,p
1,153528,4.8,p
2,153529,4.78,p
3,153530,4.72,p
4,153531,4.66,p
5,153532,4.635,p
6,153533,4.62,p
7,153534,4.675,p
8,153535,4.865,p
9,153536,5.09,p
10,153537,5.35,p
11,153538,5.665,p
12,153539,5.97,p
13,153540,6.18,p
14,153541,6.29,p
15,153542,6.16,p
16,153543,5.65,p
17,153544,4.98,p
18,153545,4.69,p
19,153546,4.705,p
20,153547,4.755,p
21,153548,4.78,p
22,153549,4.77,p
23,153550,4.775,p
24,153551,4.765,p
25,153552,4.75,p
26,153553,4.76,p
27,153554,4.775,p
28,153555,4.76,p
29,153556,4.75,p
0,153706,4.85,p
1,153707,4.86,p
2,153708,4.87,p
3,153709,4.855,p
4,153710,4.825,p
5,153711,4.77,p
6,153712,4.735,p
7,153713,4.69,p
8,153714,4.66,p
9,153715,4.8,p
10,153716,5.075,p
11,153717,5.375,p
12,153718,5.765,p
13,153719,6.155,p
14,153720,6.345,p
15,153721,6.145,p
16,153722,5.51,p
17,153723,4.875,p
18,153724,4.74,p
19,153725,4.745,p
20,153726,4.845,p
21,153727,4.845,p
22,153728,4.845,p
23,153729,4.845,p
24,153730,4.835,p
25,153731,4.82,p
26,153732,4.83,p
27,153733,4.84,p
28,153734,4.82,p
29,153735,4.81,p
0,153898,4.865,p
1,153899,4.875,p
2,153900,4.885,p
3,153901,4.86,p
4,153902,4.815,p
5,153903,4.775,p
6,153904,4.735,p
7,153905,4.685,p
8,153906,4.71,p
9,153907,4.915,p
10,153908,5.19,p
11,153909,5.53,p
12,153910,5.95,p
13,153911,6.29,p
14,153912,6.43,p
15,153913,6.34,p
16,153914,5.93,p
17,153915,5.325,p
18,153916,4.88,p
19,153917,4.76,p
20,153918,4.765,p
21,153919,4.83,p
22,153920,4.865,p
23,153921,4.86,p
24,153922,4.845,p
25,153923,4.835,p
26,153924,4.83,p
27,153925,4.83,p
