,sel_name,signal,hu_who_anot,anot,ovni,nue
4,sel100,150330,q1c,N,1,
12,sel100,150529,q1c,N,1,
20,sel100,150728,q1c,N,0,
28,sel100,150925,q1c,N,1,
36,sel100,151129,q1c,N,1,
44,sel100,151327,q1c,N,1,
52,sel100,151535,q1c,N,1,
60,sel100,151747,q1c,N,1,
68,sel100,151952,q1c,N,1,
76,sel100,152139,q1c,N,1,
84,sel100,152332,q1c,N,1,
92,sel100,152530,q1c,N,1,
100,sel100,152731,q1c,N,1,
108,sel100,152921,q1c,N,1,
116,sel100,153126,q1c,N,1,
124,sel100,153339,q1c,N,1,
132,sel100,153542,q1c,N,1,
140,sel100,153721,q1c,N,1,
148,sel100,153913,q1c,N,1,
156,sel100,154114,q1c,N,1,
164,sel100,154326,q1c,N,1,
172,sel100,154523,q1c,N,1,
180,sel100,154723,q1c,N,1,
188,sel100,154934,q1c,N,1,
196,sel100,155136,q1c,N,1,
204,sel100,155316,q1c,N,1,
212,sel100,155504,q1c,N,1,
220,sel100,155704,q1c,N,1,
228,sel100,155914,q1c,N,1,
236,sel100,156110,q1c,N,1,
1,sel102,150253,q1c,N,1,
8,sel102,150453,q1c,N,1,
15,sel102,150663,q1c,N,1,
22,sel102,150875,q1c,N,1,
29,sel102,151086,q1c,N,1,
36,sel102,151313,q1c,N,2,
43,sel102,152106,q1c,N,1,
50,sel102,152321,q1c,N,1,
57,sel102,152548,q1c,N,2,
64,sel102,152744,q1c,N,1,
71,sel102,152954,q1c,N,1,
78,sel102,153159,q1c,N,1,
85,sel102,153363,q1c,N,2,
92,sel102,153555,q1c,N,1,
99,sel102,153765,q1c,N,1,
106,sel102,153983,q1c,N,1,
113,sel102,154816,q1c,N,2,
120,sel102,155015,q1c,N,2,
127,sel102,155224,q1c,N,2,
134,sel102,155439,q1c,N,2,
141,sel102,155656,q1c,N,2,
148,sel102,155858,q1c,N,0,
155,sel102,156057,q1c,N,2,
162,sel102,156263,q1c,N,2,
169,sel102,157095,q1c,N,2,
176,sel102,157298,q1c,N,4,
183,sel102,158117,q1c,N,2,
190,sel102,158315,q1c,N,1,
197,sel102,158531,q1c,N,1,
204,sel102,158755,q1c,N,2,
211,sel102,158950,q1c,N,1,
218,sel102,159154,q1c,N,4,
225,sel102,159356,q1c,N,2,
232,sel102,159562,q1c,N,2,
239,sel102,161009,q1c,N,0,
246,sel102,161223,q1c,N,2,
253,sel102,162655,q1c,N,1,
260,sel102,162869,q1c,N,1,
267,sel102,163082,q1c,N,1,
274,sel102,163291,q1c,N,1,
281,sel102,163494,q1c,N,1,
288,sel102,163699,q1c,N,1,
295,sel102,163907,q1c,N,2,
302,sel102,164108,q1c,N,2,
309,sel102,164316,q1c,N,1,
316,sel102,164530,q1c,N,1,
323,sel102,164736,q1c,N,1,
330,sel102,164944,q1c,N,1,
337,sel102,165144,q1c,N,1,
344,sel102,165549,q1c,N,1,
351,sel102,168652,q1c,N,1,
358,sel102,168867,q1c,N,1,
365,sel102,169899,q1c,N,4,
372,sel102,170956,q1c,N,4,
379,sel102,171348,q1c,N,4,
386,sel102,171982,q1c,N,4,
393,sel102,172806,q1c,N,4,
400,sel102,173006,q1c,N,4,
407,sel102,175308,q1c,N,3,
414,sel102,175699,q1c,N,4,
421,sel102,176958,q1c,N,3,
428,sel102,178610,q1c,N,3,
435,sel102,181494,q1c,N,4,
442,sel102,182951,q1c,N,4,
449,sel102,183146,q1c,N,4,
456,sel102,183352,q1c,N,4,
463,sel102,184392,q1c,N,4,
470,sel102,185848,q1c,N,4,
477,sel102,186044,q1c,N,4,
484,sel102,186657,q1c,N,4,
491,sel102,187493,q1c,N,4,
498,sel102,189147,q1c,N,4,
505,sel102,190792,q1c,N,4,
512,sel102,191645,q1c,N,3,
519,sel102,191849,q1c,N,3,
526,sel102,194753,q1c,N,3,
533,sel102,194953,q1c,N,3,
540,sel102,196406,q1c,N,3,
547,sel102,196603,q1c,N,3,
554,sel102,201983,q1c,N,3,
561,sel102,205299,q1c,N,3,
568,sel102,205498,q1c,N,3,
575,sel102,220986,q1c,N,6,
