,signal,col2,anot
0,150315,4.74,p
1,150316,4.745,p
2,150317,4.735,p
3,150318,4.72,p
4,150319,4.675,p
5,150320,4.635,p
6,150321,4.59,p
7,150322,4.545,p
8,150323,4.595,p
9,150324,4.775,p
10,150325,4.845,p
11,150326,5.295,p
12,150327,5.695,p
13,150328,6,p
14,150329,6.105,p
15,150330,5.86,p
16,150331,5.295,p
17,150332,4.81,p
18,150333,4.64,p
19,150334,4.625,p
20,150335,4.675,p
21,150336,4.71,p
22,150337,4.715,p
23,150338,4.71,p
24,150339,4.715,p
25,150340,4.725,p
26,150341,4.7,p
27,150342,4.7,p
28,150343,4.695,p
29,150344,4.71,p
